iteration,category,subcategory,url,page_title,page_loaded,status,attempts,latency_s,timestamp
1,G2 Categories,AI Chatbots Software,https://www.g2.com/categories/ai-chatbots,g2.com,True,success,1,2.869,2026-04-27T16:57:43.801250
2,G2 Categories,CRM Software,https://www.g2.com/categories/crm,g2.com,True,success,1,2.853,2026-04-27T16:57:48.451819
3,G2 Categories,Project Management Software,https://www.g2.com/categories/project-management,g2.com,True,success,1,2.257,2026-04-27T16:57:52.251334
4,G2 Categories,Expense Management Software,https://www.g2.com/categories/expense-management,g2.com,True,success,1,2.385,2026-04-27T16:57:56.876201
5,G2 Categories,Video Conferencing Software,https://www.g2.com/categories/video-conferencing,g2.com,True,success,1,2.073,2026-04-27T16:58:00.942958
6,G2 Categories,Online Backup Software,https://www.g2.com/categories/online-backup,g2.com,True,success,1,2.543,2026-04-27T16:58:05.683032
7,G2 Categories,E-Commerce Platforms,https://www.g2.com/categories/e-commerce-platforms,g2.com,True,success,1,2.949,2026-04-27T16:58:10.397309
8,G2 Categories,Accounting Software,https://www.g2.com/categories/accounting,g2.com,True,success,1,2.121,2026-04-27T16:58:14.066599
9,G2 Categories,ERP Systems,https://www.g2.com/categories/erp-systems,g2.com,True,success,1,2.345,2026-04-27T16:58:18.320340
10,G2 Categories,Marketing Automation Software,https://www.g2.com/categories/marketing-automation,g2.com,True,success,1,2.271,2026-04-27T16:58:22.709358
11,G2 Categories,AI Agents,https://www.g2.com/categories/agentic-ai,g2.com,True,success,1,2.465,2026-04-27T16:58:27.383602
12,G2 Categories,Pricing Software,https://www.g2.com/categories/pricing,g2.com,True,success,1,2.543,2026-04-27T16:58:32.131303
13,G2 Categories,Salesforce CRM Document Generation Software,https://www.g2.com/categories/salesforce-crm-document-generation,g2.com,True,success,1,2.15,2026-04-27T16:58:36.542432
14,G2 Categories,Local SEO Software,https://www.g2.com/categories/local-seo,g2.com,True,success,1,2.813,2026-04-27T16:58:41.471467
15,G2 Categories,Creative Management Platforms,https://www.g2.com/categories/creative-management-platforms,g2.com,True,success,1,2.971,2026-04-27T16:58:45.977586
16,G2 Categories,Conversation Intelligence Software,https://www.g2.com/categories/conversation-intelligence,g2.com,True,success,1,2.972,2026-04-27T16:58:51.236869
17,G2 Categories,Product Analytics Software,https://www.g2.com/categories/product-analytics,g2.com,True,success,1,2.366,2026-04-27T16:58:55.961999
18,G2 Categories,See All CRM Software,https://www.g2.com/categories/crm,g2.com,True,success,1,2.787,2026-04-27T16:59:01.110149
19,G2 Categories,Relational Databases,https://www.g2.com/categories/relational-databases,g2.com,True,success,1,2.284,2026-04-27T16:59:05.148786
20,G2 Categories,Continuous Delivery Tools,https://www.g2.com/categories/continuous-delivery-tools,g2.com,True,success,1,2.357,2026-04-27T16:59:09.914131
21,G2 Categories,Mobile Development Platforms,https://www.g2.com/categories/mobile-development-platforms,g2.com,True,success,1,2.489,2026-04-27T16:59:14.400802
22,G2 Categories,Mobile Application Management Software,https://www.g2.com/categories/mobile-application-management,g2.com,True,success,1,2.728,2026-04-27T16:59:19.422545
23,G2 Categories,IT Asset Management Software,https://www.g2.com/categories/it-asset-management,g2.com,True,success,1,2.184,2026-04-27T16:59:23.179961
24,G2 Categories,Workplace Innovation Platforms,https://www.g2.com/categories/workplace-innovation-platforms,g2.com,True,success,1,2.711,2026-04-27T16:59:28.136711
25,G2 Categories,See All Infrastructure as a Service (IaaS) Providers,https://www.g2.com/categories/infrastructure-as-a-service-iaas,g2.com,True,success,1,2.32,2026-04-27T16:59:32.736656
26,G2 Categories,Payment Gateways,https://www.g2.com/categories/payment-gateways,g2.com,True,success,1,2.493,2026-04-27T16:59:37.484728
27,G2 Categories,Accounts Payable Automation Software,https://www.g2.com/categories/ap-automation,g2.com,True,success,1,2.657,2026-04-27T16:59:42.639317
28,G2 Categories,Subscription Revenue Management Software,https://www.g2.com/categories/subscription-revenue-management,g2.com,True,success,1,2.946,2026-04-27T16:59:48.006581
29,G2 Categories,Contact Center Knowledge Base Software,https://www.g2.com/categories/contact-center-knowledge-base,g2.com,True,success,1,2.258,2026-04-27T16:59:52.758667
30,G2 Categories,Discrete ERP Software,https://www.g2.com/categories/discrete-erp,g2.com,True,success,1,2.254,2026-04-27T16:59:56.827265
31,G2 Categories,Asset Tracking Software,https://www.g2.com/categories/asset-tracking,g2.com,True,success,1,2.582,2026-04-27T17:00:01.354235
32,G2 Categories,See All ERP Systems,https://www.g2.com/categories/erp-systems,g2.com,True,success,1,2.176,2026-04-27T17:00:05.750470
33,G2 Categories,Email Software,https://www.g2.com/categories/email,g2.com,True,success,1,2.739,2026-04-27T17:00:10.465150
34,G2 Categories,Screen and Video Capture Software,https://www.g2.com/categories/screen-and-video-capture,g2.com,True,success,1,2.025,2026-04-27T17:00:14.429574
35,G2 Categories,Emergency Notification Software,https://www.g2.com/categories/emergency-notification,g2.com,True,success,1,2.535,2026-04-27T17:00:19.379265
36,G2 Categories,HR Analytics Software,https://www.g2.com/categories/hr-analytics,g2.com,True,success,1,2.666,2026-04-27T17:00:23.969890
37,G2 Categories,OCR Software,https://www.g2.com/categories/ocr,g2.com,True,success,1,2.816,2026-04-27T17:00:29.022627
38,G2 Categories,Digital Adoption Platforms,https://www.g2.com/categories/digital-adoption-platform,g2.com,True,success,1,2.811,2026-04-27T17:00:33.894611
39,G2 Categories,See All HR Software,https://www.g2.com/categories/hr,g2.com,True,success,1,2.623,2026-04-27T17:00:38.519929
40,G2 Categories,Media Sales Software,https://www.g2.com/categories/media-sales-software,g2.com,True,success,1,2.528,2026-04-27T17:00:42.610641
41,G2 Categories,Trade Show and Exhibition Solutions Software,https://www.g2.com/categories/trade-show-and-exhibition-solutions,g2.com,True,success,1,2.728,2026-04-27T17:00:47.593355
42,G2 Categories,Autonomous Sourcing,https://www.g2.com/categories/autonomous-sourcing,g2.com,True,success,1,2.619,2026-04-27T17:00:51.768351
43,G2 Categories,AI Presentation Tools,https://www.g2.com/categories/ai-presentation-tools,g2.com,True,success,1,2.843,2026-04-27T17:00:56.112384
44,G2 Categories,Legal Workflow Automation Software,https://www.g2.com/categories/legal-workflow-automation,g2.com,True,success,1,2.106,2026-04-27T17:00:59.791474
45,G2 Categories,Ambient AI Scribe Platforms Software,https://www.g2.com/categories/ambient-ai-scribe-platforms,g2.com,True,success,1,2.387,2026-04-27T17:01:04.638361
46,G2 Categories,Tax Software,https://www.g2.com/categories/tax-software,g2.com,True,success,1,2.152,2026-04-27T17:01:08.591984
47,G2 Categories,Manufacturing,https://www.g2.com/categories/manufacturing,g2.com,True,success,1,2.101,2026-04-27T17:01:13.075514
48,G2 Categories,Collaborative Research Writing Tools Software,https://www.g2.com/categories/collaborative-research-writing-tools,g2.com,True,success,1,2.539,2026-04-27T17:01:17.217811
49,G2 Categories,Stakeholder Relationship Management Software,https://www.g2.com/categories/stakeholder-relationship-management-software,g2.com,True,success,1,2.766,2026-04-27T17:01:22.124343
50,G2 Categories,Active Learning Tools,https://www.g2.com/categories/active-learning-tools,g2.com,True,success,1,2.818,2026-04-27T17:01:27.360509
51,G2 Categories,AI Agent Builders Software,https://www.g2.com/categories/ai-agent-builders,g2.com,True,success,1,2.167,2026-04-27T17:01:31.499066
52,G2 Categories,AI Agents,https://www.g2.com/categories/ai-agents,g2.com,True,success,1,2.075,2026-04-27T17:01:35.280275
53,G2 Categories,AI Agents For Business Operations,https://www.g2.com/categories/ai-agents-for-business-operations,g2.com,True,success,1,2.316,2026-04-27T17:01:39.122574
54,G2 Categories,AI Agents for HR Software,https://www.g2.com/categories/ai-agents-for-hr,g2.com,True,success,1,2.26,2026-04-27T17:01:43.529309
